Základný číselník,Kód číselnika,Názov číselníka,Ang. názov číselníka,URI číselníka,Hlavný gestor,Vedľajší gestor,Zdrojový číselnik,Dátum platnosti,Začiatok účinnosti,Koniec účinnosti,Poznámka,Kód položky,Názov položky,Ang. názov položky,Skrátený názov položky,Ang. skrátený nazov položky,Skratka názvu položky,Ang. skratka názvu položky,URI polozky,Doplňujúci obsah,Merná jednotka,Poznámka pre položku,Zahŕňa,Tiež zahŕňa,Vylučuje,Začiatok účinnosti položky,Koniec účinnosti položky,Logické poradie položky,Legislatívna uznateľnosť
ano,CL000086,Krajina OSN,"UN country  ",https://data.gov.sk/set/codelist/CL000086,Štatistický úrad Slovenskej republiky,,"Vypracované podľa ISO 3166. Právny rámec: Vyhláška ŠÚ SR 112/2012 Z. z., ktorou sa vydáva Štatistický číselník krajín v znení neskorších predpisov. Zdrojový číselník: Číselník Štatistického úradu SR č. 0086. ",2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
Štatistický úrad SR používa v štatistike o obyvateľstve Obyv 1 až 5 v položke Štát trvalého pobytu (predchádzajúceho/budúceho pobytu) kód 896 na kódovanie prípadov, keď územie nezodpovedá žiadnej krajine v číselníku a kód 898, keď územie je uvedené ako nezistené alebo nie je udané.
Zavedenie položiek 688 a 499 k 1.1.2007 a ukončenie platnosti položky 891 k 31.12.2006 sa vykonalo na základe aktualizačného listu ISO 3166 z 26. 9. 2006 (rozdelenie krajiny Srbsko a Čierna Hora na samostatné krajiny).
Na výslovnú žiadosť nemeckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Nemeckou republikou a Slovenskou republikou používa podoba """"Spolková republika Nemecko"""", v ost. prípadoch """"Nemecká spolková republika"""".
Na výslovnú žiadosť gréckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Gréckou republikou a Slovenskou republikou používa podoba """"Helénska republika"""", v ost. prípadoch """"Grécka republika"""".
Do OSN bolo Macedónsko prijaté pod názvom """"The former Yougoslav republic of Macedonia"""", slovensky """"Bývalá republika Macedónsko"""".
Úplná podoba slovenského vžitého názvu Maďarská republika je zmenená na Maďarsko na základe zmeny oficiálneho názvu krajiny na Magyarország s účinnosťou od 1.1.2012.
V anglickom názve krajiny """"Aland Islands"""" je z technických dôvodov použité počiatočné písmeno A namiesto A s krúžkom.
Kód 998 sa používa v súlade so zák. č. 404/2011 Z. z. § 46 ods. 3. ",004,Afganská islamská republika,Islamic Republic of Afghanistan,Afganistan,Afghanistan,,,,AF,,,,,,1987-01-01,,,ano
ano,CL000086,Krajina OSN,"UN country  ",https://data.gov.sk/set/codelist/CL000086,Štatistický úrad Slovenskej republiky,,"Vypracované podľa ISO 3166. Právny rámec: Vyhláška ŠÚ SR 112/2012 Z. z., ktorou sa vydáva Štatistický číselník krajín v znení neskorších predpisov. Zdrojový číselník: Číselník Štatistického úradu SR č. 0086. ",2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
Štatistický úrad SR používa v štatistike o obyvateľstve Obyv 1 až 5 v položke Štát trvalého pobytu (predchádzajúceho/budúceho pobytu) kód 896 na kódovanie prípadov, keď územie nezodpovedá žiadnej krajine v číselníku a kód 898, keď územie je uvedené ako nezistené alebo nie je udané.
Zavedenie položiek 688 a 499 k 1.1.2007 a ukončenie platnosti položky 891 k 31.12.2006 sa vykonalo na základe aktualizačného listu ISO 3166 z 26. 9. 2006 (rozdelenie krajiny Srbsko a Čierna Hora na samostatné krajiny).
Na výslovnú žiadosť nemeckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Nemeckou republikou a Slovenskou republikou používa podoba """"Spolková republika Nemecko"""", v ost. prípadoch """"Nemecká spolková republika"""".
Na výslovnú žiadosť gréckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Gréckou republikou a Slovenskou republikou používa podoba """"Helénska republika"""", v ost. prípadoch """"Grécka republika"""".
Do OSN bolo Macedónsko prijaté pod názvom """"The former Yougoslav republic of Macedonia"""", slovensky """"Bývalá republika Macedónsko"""".
Úplná podoba slovenského vžitého názvu Maďarská republika je zmenená na Maďarsko na základe zmeny oficiálneho názvu krajiny na Magyarország s účinnosťou od 1.1.2012.
V anglickom názve krajiny """"Aland Islands"""" je z technických dôvodov použité počiatočné písmeno A namiesto A s krúžkom.
Kód 998 sa používa v súlade so zák. č. 404/2011 Z. z. § 46 ods. 3. ",008,Albánska republika,Republic of Albania,Albánsko,Albania,,,,AL,,,,,,1987-01-01,,,ano
ano,CL000086,Krajina OSN,"UN country  ",https://data.gov.sk/set/codelist/CL000086,Štatistický úrad Slovenskej republiky,,"Vypracované podľa ISO 3166. Právny rámec: Vyhláška ŠÚ SR 112/2012 Z. z., ktorou sa vydáva Štatistický číselník krajín v znení neskorších predpisov. Zdrojový číselník: Číselník Štatistického úradu SR č. 0086. ",2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
Štatistický úrad SR používa v štatistike o obyvateľstve Obyv 1 až 5 v položke Štát trvalého pobytu (predchádzajúceho/budúceho pobytu) kód 896 na kódovanie prípadov, keď územie nezodpovedá žiadnej krajine v číselníku a kód 898, keď územie je uvedené ako nezistené alebo nie je udané.
Zavedenie položiek 688 a 499 k 1.1.2007 a ukončenie platnosti položky 891 k 31.12.2006 sa vykonalo na základe aktualizačného listu ISO 3166 z 26. 9. 2006 (rozdelenie krajiny Srbsko a Čierna Hora na samostatné krajiny).
Na výslovnú žiadosť nemeckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Nemeckou republikou a Slovenskou republikou používa podoba """"Spolková republika Nemecko"""", v ost. prípadoch """"Nemecká spolková republika"""".
Na výslovnú žiadosť gréckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Gréckou republikou a Slovenskou republikou používa podoba """"Helénska republika"""", v ost. prípadoch """"Grécka republika"""".
Do OSN bolo Macedónsko prijaté pod názvom """"The former Yougoslav republic of Macedonia"""", slovensky """"Bývalá republika Macedónsko"""".
Úplná podoba slovenského vžitého názvu Maďarská republika je zmenená na Maďarsko na základe zmeny oficiálneho názvu krajiny na Magyarország s účinnosťou od 1.1.2012.
V anglickom názve krajiny """"Aland Islands"""" je z technických dôvodov použité počiatočné písmeno A namiesto A s krúžkom.
Kód 998 sa používa v súlade so zák. č. 404/2011 Z. z. § 46 ods. 3. ",010,Antarktída,Antarctica,Antarktída,Antarctica,,,,AQ,,,,,,1993-01-01,,,ano
ano,CL000086,Krajina OSN,"UN country  ",https://data.gov.sk/set/codelist/CL000086,Štatistický úrad Slovenskej republiky,,"Vypracované podľa ISO 3166. Právny rámec: Vyhláška ŠÚ SR 112/2012 Z. z., ktorou sa vydáva Štatistický číselník krajín v znení neskorších predpisov. Zdrojový číselník: Číselník Štatistického úradu SR č. 0086. ",2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
Štatistický úrad SR používa v štatistike o obyvateľstve Obyv 1 až 5 v položke Štát trvalého pobytu (predchádzajúceho/budúceho pobytu) kód 896 na kódovanie prípadov, keď územie nezodpovedá žiadnej krajine v číselníku a kód 898, keď územie je uvedené ako nezistené alebo nie je udané.
Zavedenie položiek 688 a 499 k 1.1.2007 a ukončenie platnosti položky 891 k 31.12.2006 sa vykonalo na základe aktualizačného listu ISO 3166 z 26. 9. 2006 (rozdelenie krajiny Srbsko a Čierna Hora na samostatné krajiny).
Na výslovnú žiadosť nemeckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Nemeckou republikou a Slovenskou republikou používa podoba """"Spolková republika Nemecko"""", v ost. prípadoch """"Nemecká spolková republika"""".
Na výslovnú žiadosť gréckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Gréckou republikou a Slovenskou republikou používa podoba """"Helénska republika"""", v ost. prípadoch """"Grécka republika"""".
Do OSN bolo Macedónsko prijaté pod názvom """"The former Yougoslav republic of Macedonia"""", slovensky """"Bývalá republika Macedónsko"""".
Úplná podoba slovenského vžitého názvu Maďarská republika je zmenená na Maďarsko na základe zmeny oficiálneho názvu krajiny na Magyarország s účinnosťou od 1.1.2012.
V anglickom názve krajiny """"Aland Islands"""" je z technických dôvodov použité počiatočné písmeno A namiesto A s krúžkom.
Kód 998 sa používa v súlade so zák. č. 404/2011 Z. z. § 46 ods. 3. ",012,Alžírska demokratická ľudová republika,People`s Democratic Republic of Algeria,Alžírsko,Algeria,,,,DZ,,,,,,1987-01-01,,,ano
ano,CL000086,Krajina OSN,"UN country  ",https://data.gov.sk/set/codelist/CL000086,Štatistický úrad Slovenskej republiky,,"Vypracované podľa ISO 3166. Právny rámec: Vyhláška ŠÚ SR 112/2012 Z. z., ktorou sa vydáva Štatistický číselník krajín v znení neskorších predpisov. Zdrojový číselník: Číselník Štatistického úradu SR č. 0086. ",2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
Štatistický úrad SR používa v štatistike o obyvateľstve Obyv 1 až 5 v položke Štát trvalého pobytu (predchádzajúceho/budúceho pobytu) kód 896 na kódovanie prípadov, keď územie nezodpovedá žiadnej krajine v číselníku a kód 898, keď územie je uvedené ako nezistené alebo nie je udané.
Zavedenie položiek 688 a 499 k 1.1.2007 a ukončenie platnosti položky 891 k 31.12.2006 sa vykonalo na základe aktualizačného listu ISO 3166 z 26. 9. 2006 (rozdelenie krajiny Srbsko a Čierna Hora na samostatné krajiny).
Na výslovnú žiadosť nemeckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Nemeckou republikou a Slovenskou republikou používa podoba """"Spolková republika Nemecko"""", v ost. prípadoch """"Nemecká spolková republika"""".
Na výslovnú žiadosť gréckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Gréckou republikou a Slovenskou republikou používa podoba """"Helénska republika"""", v ost. prípadoch """"Grécka republika"""".
Do OSN bolo Macedónsko prijaté pod názvom """"The former Yougoslav republic of Macedonia"""", slovensky """"Bývalá republika Macedónsko"""".
Úplná podoba slovenského vžitého názvu Maďarská republika je zmenená na Maďarsko na základe zmeny oficiálneho názvu krajiny na Magyarország s účinnosťou od 1.1.2012.
V anglickom názve krajiny """"Aland Islands"""" je z technických dôvodov použité počiatočné písmeno A namiesto A s krúžkom.
Kód 998 sa používa v súlade so zák. č. 404/2011 Z. z. § 46 ods. 3. ",016,Teritórium Americkej Samoy,Territory of American Samoa,Americká Samoa,American Samoa,,,,AS,,,,,,1987-01-01,,,ano
ano,CL000086,Krajina OSN,"UN country  ",https://data.gov.sk/set/codelist/CL000086,Štatistický úrad Slovenskej republiky,,"Vypracované podľa ISO 3166. Právny rámec: Vyhláška ŠÚ SR 112/2012 Z. z., ktorou sa vydáva Štatistický číselník krajín v znení neskorších predpisov. Zdrojový číselník: Číselník Štatistického úradu SR č. 0086. ",2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
Štatistický úrad SR používa v štatistike o obyvateľstve Obyv 1 až 5 v položke Štát trvalého pobytu (predchádzajúceho/budúceho pobytu) kód 896 na kódovanie prípadov, keď územie nezodpovedá žiadnej krajine v číselníku a kód 898, keď územie je uvedené ako nezistené alebo nie je udané.
Zavedenie položiek 688 a 499 k 1.1.2007 a ukončenie platnosti položky 891 k 31.12.2006 sa vykonalo na základe aktualizačného listu ISO 3166 z 26. 9. 2006 (rozdelenie krajiny Srbsko a Čierna Hora na samostatné krajiny).
Na výslovnú žiadosť nemeckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Nemeckou republikou a Slovenskou republikou používa podoba """"Spolková republika Nemecko"""", v ost. prípadoch """"Nemecká spolková republika"""".
Na výslovnú žiadosť gréckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Gréckou republikou a Slovenskou republikou používa podoba """"Helénska republika"""", v ost. prípadoch """"Grécka republika"""".
Do OSN bolo Macedónsko prijaté pod názvom """"The former Yougoslav republic of Macedonia"""", slovensky """"Bývalá republika Macedónsko"""".
Úplná podoba slovenského vžitého názvu Maďarská republika je zmenená na Maďarsko na základe zmeny oficiálneho názvu krajiny na Magyarország s účinnosťou od 1.1.2012.
V anglickom názve krajiny """"Aland Islands"""" je z technických dôvodov použité počiatočné písmeno A namiesto A s krúžkom.
Kód 998 sa používa v súlade so zák. č. 404/2011 Z. z. § 46 ods. 3. ",020,Andorrské kniežatstvo,Principality of Andorra,Andorra,Andorra,,,,AD,,,,,,1987-01-01,,,ano
ano,CL000086,Krajina OSN,"UN country  ",https://data.gov.sk/set/codelist/CL000086,Štatistický úrad Slovenskej republiky,,"Vypracované podľa ISO 3166. Právny rámec: Vyhláška ŠÚ SR 112/2012 Z. z., ktorou sa vydáva Štatistický číselník krajín v znení neskorších predpisov. Zdrojový číselník: Číselník Štatistického úradu SR č. 0086. ",2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
Štatistický úrad SR používa v štatistike o obyvateľstve Obyv 1 až 5 v položke Štát trvalého pobytu (predchádzajúceho/budúceho pobytu) kód 896 na kódovanie prípadov, keď územie nezodpovedá žiadnej krajine v číselníku a kód 898, keď územie je uvedené ako nezistené alebo nie je udané.
Zavedenie položiek 688 a 499 k 1.1.2007 a ukončenie platnosti položky 891 k 31.12.2006 sa vykonalo na základe aktualizačného listu ISO 3166 z 26. 9. 2006 (rozdelenie krajiny Srbsko a Čierna Hora na samostatné krajiny).
Na výslovnú žiadosť nemeckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Nemeckou republikou a Slovenskou republikou používa podoba """"Spolková republika Nemecko"""", v ost. prípadoch """"Nemecká spolková republika"""".
Na výslovnú žiadosť gréckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Gréckou republikou a Slovenskou republikou používa podoba """"Helénska republika"""", v ost. prípadoch """"Grécka republika"""".
Do OSN bolo Macedónsko prijaté pod názvom """"The former Yougoslav republic of Macedonia"""", slovensky """"Bývalá republika Macedónsko"""".
Úplná podoba slovenského vžitého názvu Maďarská republika je zmenená na Maďarsko na základe zmeny oficiálneho názvu krajiny na Magyarország s účinnosťou od 1.1.2012.
V anglickom názve krajiny """"Aland Islands"""" je z technických dôvodov použité počiatočné písmeno A namiesto A s krúžkom.
Kód 998 sa používa v súlade so zák. č. 404/2011 Z. z. § 46 ods. 3. ",024,Angolská republika,Republic of Angola,Angola,Angola,,,,AO,,,,,,1993-01-01,,,ano
ano,CL000086,Krajina OSN,"UN country  ",https://data.gov.sk/set/codelist/CL000086,Štatistický úrad Slovenskej republiky,,"Vypracované podľa ISO 3166. Právny rámec: Vyhláška ŠÚ SR 112/2012 Z. z., ktorou sa vydáva Štatistický číselník krajín v znení neskorších predpisov. Zdrojový číselník: Číselník Štatistického úradu SR č. 0086. ",2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
Štatistický úrad SR používa v štatistike o obyvateľstve Obyv 1 až 5 v položke Štát trvalého pobytu (predchádzajúceho/budúceho pobytu) kód 896 na kódovanie prípadov, keď územie nezodpovedá žiadnej krajine v číselníku a kód 898, keď územie je uvedené ako nezistené alebo nie je udané.
Zavedenie položiek 688 a 499 k 1.1.2007 a ukončenie platnosti položky 891 k 31.12.2006 sa vykonalo na základe aktualizačného listu ISO 3166 z 26. 9. 2006 (rozdelenie krajiny Srbsko a Čierna Hora na samostatné krajiny).
Na výslovnú žiadosť nemeckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Nemeckou republikou a Slovenskou republikou používa podoba """"Spolková republika Nemecko"""", v ost. prípadoch """"Nemecká spolková republika"""".
Na výslovnú žiadosť gréckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Gréckou republikou a Slovenskou republikou používa podoba """"Helénska republika"""", v ost. prípadoch """"Grécka republika"""".
Do OSN bolo Macedónsko prijaté pod názvom """"The former Yougoslav republic of Macedonia"""", slovensky """"Bývalá republika Macedónsko"""".
Úplná podoba slovenského vžitého názvu Maďarská republika je zmenená na Maďarsko na základe zmeny oficiálneho názvu krajiny na Magyarország s účinnosťou od 1.1.2012.
V anglickom názve krajiny """"Aland Islands"""" je z technických dôvodov použité počiatočné písmeno A namiesto A s krúžkom.
Kód 998 sa používa v súlade so zák. č. 404/2011 Z. z. § 46 ods. 3. ",028,Antigua a Barbuda,Antigua and Barbuda,Antigua a Barbuda,Antigua and Barbuda,,,,AG,,,,,,1987-01-01,,,ano
ano,CL000086,Krajina OSN,"UN country  ",https://data.gov.sk/set/codelist/CL000086,Štatistický úrad Slovenskej republiky,,"Vypracované podľa ISO 3166. Právny rámec: Vyhláška ŠÚ SR 112/2012 Z. z., ktorou sa vydáva Štatistický číselník krajín v znení neskorších predpisov. Zdrojový číselník: Číselník Štatistického úradu SR č. 0086. ",2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
Štatistický úrad SR používa v štatistike o obyvateľstve Obyv 1 až 5 v položke Štát trvalého pobytu (predchádzajúceho/budúceho pobytu) kód 896 na kódovanie prípadov, keď územie nezodpovedá žiadnej krajine v číselníku a kód 898, keď územie je uvedené ako nezistené alebo nie je udané.
Zavedenie položiek 688 a 499 k 1.1.2007 a ukončenie platnosti položky 891 k 31.12.2006 sa vykonalo na základe aktualizačného listu ISO 3166 z 26. 9. 2006 (rozdelenie krajiny Srbsko a Čierna Hora na samostatné krajiny).
Na výslovnú žiadosť nemeckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Nemeckou republikou a Slovenskou republikou používa podoba """"Spolková republika Nemecko"""", v ost. prípadoch """"Nemecká spolková republika"""".
Na výslovnú žiadosť gréckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Gréckou republikou a Slovenskou republikou používa podoba """"Helénska republika"""", v ost. prípadoch """"Grécka republika"""".
Do OSN bolo Macedónsko prijaté pod názvom """"The former Yougoslav republic of Macedonia"""", slovensky """"Bývalá republika Macedónsko"""".
Úplná podoba slovenského vžitého názvu Maďarská republika je zmenená na Maďarsko na základe zmeny oficiálneho názvu krajiny na Magyarország s účinnosťou od 1.1.2012.
V anglickom názve krajiny """"Aland Islands"""" je z technických dôvodov použité počiatočné písmeno A namiesto A s krúžkom.
Kód 998 sa používa v súlade so zák. č. 404/2011 Z. z. § 46 ods. 3. ",031,Azerbajdžanská republika,Republic of Azerbaijan,Azerbajdžan,Azerbaijan,,,,AZ,,,,,,1993-01-01,,,ano
ano,CL000086,Krajina OSN,"UN country  ",https://data.gov.sk/set/codelist/CL000086,Štatistický úrad Slovenskej republiky,,"Vypracované podľa ISO 3166. Právny rámec: Vyhláška ŠÚ SR 112/2012 Z. z., ktorou sa vydáva Štatistický číselník krajín v znení neskorších predpisov. Zdrojový číselník: Číselník Štatistického úradu SR č. 0086. ",2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
Štatistický úrad SR používa v štatistike o obyvateľstve Obyv 1 až 5 v položke Štát trvalého pobytu (predchádzajúceho/budúceho pobytu) kód 896 na kódovanie prípadov, keď územie nezodpovedá žiadnej krajine v číselníku a kód 898, keď územie je uvedené ako nezistené alebo nie je udané.
Zavedenie položiek 688 a 499 k 1.1.2007 a ukončenie platnosti položky 891 k 31.12.2006 sa vykonalo na základe aktualizačného listu ISO 3166 z 26. 9. 2006 (rozdelenie krajiny Srbsko a Čierna Hora na samostatné krajiny).
Na výslovnú žiadosť nemeckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Nemeckou republikou a Slovenskou republikou používa podoba """"Spolková republika Nemecko"""", v ost. prípadoch """"Nemecká spolková republika"""".
Na výslovnú žiadosť gréckej strany sa v medzinárodných dohodách, zmluvách a pod. dokumentoch medzi Gréckou republikou a Slovenskou republikou používa podoba """"Helénska republika"""", v ost. prípadoch """"Grécka republika"""".
Do OSN bolo Macedónsko prijaté pod názvom """"The former Yougoslav republic of Macedonia"""", slovensky """"Bývalá republika Macedónsko"""".
Úplná podoba slovenského vžitého názvu Maďarská republika je zmenená na Maďarsko na základe zmeny oficiálneho názvu krajiny na Magyarország s účinnosťou od 1.1.2012.
V anglickom názve krajiny """"Aland Islands"""" je z technických dôvodov použité počiatočné písmeno A namiesto A s krúžkom.
Kód 998 sa používa v súlade so zák. č. 404/2011 Z. z. § 46 ods. 3. ",032,Argentínska republika,Argentine Republic,Argentína,Argentina,,,,AR,,,,,,1987-01-01,,,ano
